,quarter,Categ_name,GT,GT_lag1,GT_lag2,DI,DI_lag1,DI_lag2,3m Bond,3m Bond_lag1,3m Bond_lag2,cci,cci_lag1,cci_lag2,CPI,CPI_lag1,CPI_lag2,vix,vix_lag1,vix_lag2,CS,CS_lag1,CS_lag2,Air Travel: 203,Animal Products & Services: 882,Apartments & Residential Rentals: 378,Apparel: 68,Audio Equipment: 361,Auto Insurance: 467,Automotive Industry: 1190,Baked Goods: 907,Beer: 404,Bicycles & Accessories: 1191,Camera & Photo Equipment: 573,Candy & Sweets: 906,Clothing Accessories: 124,Domestic Services: 472,Drugs & Medications: 646,Education: 74,Electricity: 658,Fruits & Vegetables: 908,Health Insurance: 249,Hobbies & Leisure: 65,Home Financing: 466,Home Furnishings: 270,Home Insurance: 465,Hotels & Accommodations: 179,Kitchen & Dining: 951,Liquor: 406,Lottery & Sweepstakes: 364,Mail & Package Delivery: 1150,Major Kitchen Appliances: 1293,Meat & Seafood: 909,Mobile & Wireless: 382,Motorcycles: 273,Non-Alcoholic Beverages: 560,Restaurants: 276,Small Kitchen Appliances: 1292,Sporting Goods: 263,Tobacco Products: 123,Transportation & Logistics: 50,Vehicle Fuels & Lubricants: 1269,Vehicle Maintenance: 138,Vehicle Parts & Accessories: 89,Water Supply & Treatment: 1349,Wine: 405
10,2007Q3,Air Travel: 203,0.6286679705724759,-0.6516341052509549,1.6718770693915668,1.2801964389036846,1.3665915039168068,1.177602299200602,0.5422109102323697,0.7416992512481475,0.8923766152068685,0.7682791289288697,0.7449953867981606,0.4190229969682329,-1.2287410964871264,0.5945521434615118,-0.8235648209430038,1.4083175142203743,-0.1427745148607242,0.4323864666483477,3609,0.004559005081213085,-0.05449911423433878,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2007Q4,Air Travel: 203,-2.7380523028891366,0.6286679705724759,-0.6516341052509549,1.1884016823272419,1.2801964389036846,1.3665915039168068,-0.3561940298032275,0.5422109102323697,0.7416992512481475,0.5975316866370027,0.7682791289288697,0.7449953867981606,0.7971402812335731,-1.2287410964871264,0.5945521434615118,0.1026889246162599,1.4083175142203743,-0.1427745148607242,3716,-0.06507668784309434,0.004559005081213085,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2008Q1,Air Travel: 203,1.1976911153828875,-2.7380523028891366,0.6286679705724759,1.3341933545368858,1.1884016823272419,1.2801964389036846,-0.7346559533615233,-0.3561940298032275,0.5422109102323697,0.1667824572188839,0.5975316866370027,0.7682791289288697,-0.4183885453988236,0.7971402812335731,-1.2287410964871264,1.041767552320429,0.1026889246162599,1.4083175142203743,3861,-0.05328710059166887,-0.06507668784309434,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2008Q2,Air Travel: 203,-0.7938898914535564,1.1976911153828875,-2.7380523028891366,0.6592319091218677,1.3341933545368858,1.1884016823272419,0.12342687519215365,-0.7346559533615233,-0.3561940298032275,-1.0090465203819274,0.1667824572188839,0.5975316866370027,2.4178453834101497,-0.4183885453988236,0.7971402812335731,-1.3227100295583931,1.041767552320429,0.1026889246162599,3794,-0.037310557120111,-0.05328710059166887,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2008Q3,Air Travel: 203,-0.17744815124227947,-0.7938898914535564,1.1976911153828875,0.05446645403001128,0.6592319091218677,1.3341933545368858,0.14535644459459388,0.12342687519215365,-0.7346559533615233,-1.7036781606147509,-1.0090465203819274,0.1667824572188839,1.2023165567777527,2.4178453834101497,-0.4183885453988236,1.0648003147378389,-1.3227100295583931,1.041767552320429,3630,-0.044692822034554984,-0.037310557120111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2008Q4,Air Travel: 203,-2.3587035396821956,-0.17744815124227947,-0.7938898914535564,-1.133465689900421,0.05446645403001128,0.6592319091218677,-5.649001715902672,0.14535644459459388,0.12342687519215365,-1.5833788262727533,-1.7036781606147509,-1.0090465203819274,-0.8235648209430038,1.2023165567777527,2.4178453834101497,3.7089614402566586,1.0648003147378389,-1.3227100295583931,3722,-0.06276284361617905,-0.044692822034554984,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2009Q1,Air Travel: 203,0.960598138378552,-2.3587035396821956,-0.17744815124227947,-2.1810058531845296,-1.133465689900421,0.05446645403001128,-2.9643979777648224,-5.649001715902672,0.14535644459459388,-1.8239774949567464,-1.5833788262727533,-1.7036781606147509,-1.8365055098033392,-0.8235648209430038,1.2023165567777527,-1.4128668424494015,3.7089614402566586,1.0648003147378389,3578,-0.05262600224112165,-0.06276284361617905,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2009Q2,Air Travel: 203,-0.367122532845748,0.960598138378552,-2.3587035396821956,-1.9218206581451625,-2.1810058531845296,-1.133465689900421,-0.29960159263562863,-2.9643979777648224,-5.649001715902672,-0.9081503044821876,-1.8239774949567464,-1.5833788262727533,0.9997284190056632,-1.8365055098033392,-0.8235648209430038,-2.244020526254848,-1.4128668424494015,3.7089614402566586,3536,-0.06849236265425497,-0.05262600224112165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2009Q3,Air Travel: 203,0.5338307797707418,-0.367122532845748,0.960598138378552,-0.9768746345641368,-1.9218206581451625,-2.1810058531845296,-0.0902095751155214,-0.29960159263562863,-2.9643979777648224,-0.2639667721992353,-0.9081503044821876,-1.8239774949567464,-0.013212269854701001,0.9997284190056632,-1.8365055098033392,-0.9206238056430136,-2.244020526254848,-1.4128668424494015,3237,-0.07312005110808555,-0.06849236265425497,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2009Q4,Air Travel: 203,-1.5051688224665765,0.5338307797707418,-0.367122532845748,-1.0848684658305396,-0.9768746345641368,-1.9218206581451625,0.26278575171736024,-0.0902095751155214,-0.29960159263562863,0.2521561783648173,-0.2639667721992353,-0.9081503044821876,0.3919640056894216,-0.013212269854701001,0.9997284190056632,0.2770798400623753,-0.9206238056430136,-2.244020526254848,3339,-0.10606478557702212,-0.07312005110808555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2010Q1,Air Travel: 203,0.7235051613742113,-1.5051688224665765,0.5338307797707418,-1.1118669236471403,-1.0848684658305396,-0.9768746345641368,0.2967412140179184,0.26278575171736024,-0.0902095751155214,0.4461873627873935,0.2521561783648173,-0.2639667721992353,0.18937586791738908,0.3919640056894216,-0.013212269854701001,-1.0555299855164235,0.2770798400623753,-0.9206238056430136,3422,-0.09482611361771934,-0.10606478557702212,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2010Q2,Air Travel: 203,0.3441563981672691,0.7235051613742113,-1.5051688224665765,-0.7500875889046906,-1.1118669236471403,-1.0848684658305396,0.2337821276689676,0.2967412140179184,0.26278575171736024,0.1163343492690141,0.4461873627873935,0.2521561783648173,1.2023165567777243,0.18937586791738908,0.3919640056894216,1.0700649461475342,-1.0555299855164235,0.2770798400623753,3359,-0.08568091976848277,-0.09482611361771934,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2010Q3,Air Travel: 203,-0.4619597236474832,0.3441563981672691,0.7235051613742113,-0.7338885142147301,-0.7500875889046906,-1.1118669236471403,0.22175623477085304,0.2337821276689676,0.2967412140179184,-0.2872505143299442,0.1163343492690141,0.4461873627873935,-0.4183885453988523,1.2023165567777243,0.18937586791738908,-0.5468349755547386,1.0700649461475342,-1.0555299855164235,3560,-0.0926224524492286,-0.08568091976848277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2010Q4,Air Travel: 203,-0.7938898914535583,-0.4619597236474832,0.3441563981672691,-0.8472820370444533,-0.7338885142147301,-0.7500875889046906,0.2528820752130309,0.22175623477085304,0.2337821276689676,-0.6597903884212903,-0.2872505143299442,0.1163343492690141,0.7971402812336018,-0.4183885453988523,1.2023165567777243,-0.27175798439822696,-0.5468349755547386,1.0700649461475342,3687,-0.07047565770589666,-0.0926224524492286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2011Q1,Air Travel: 203,1.2925283061846249,-0.7938898914535583,-0.4619597236474832,-0.8580814201710936,-0.8472820370444533,-0.7338885142147301,0.304522674128463,0.2528820752130309,0.22175623477085304,-1.1487489731661822,-0.6597903884212903,-0.2872505143299442,1.6074928323218758,0.7971402812336018,-0.4183885453988523,-0.5797389218653264,-0.27175798439822696,-0.5468349755547386,3934,-0.05648240928598045,-0.07047565770589666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2011Q2,Air Travel: 203,-0.03519236503967304,1.2925283061846249,-0.7938898914535583,-0.4207064035421617,-0.8580814201710936,-0.8472820370444533,0.13474536262567374,0.304522674128463,0.2528820752130309,-1.078897746774054,-1.1487489731661822,-0.6597903884212903,2.0126691078660266,1.6074928323218758,0.7971402812336018,-0.4987952139412812,-0.5797389218653264,-0.27175798439822696,4070,-0.029267193855119788,-0.05648240928598045,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2011Q3,Air Travel: 203,0.2967378027664009,-0.03519236503967304,1.2925283061846249,-1.0038730923807375,-0.4207064035421617,-0.8580814201710936,0.11988984786917994,0.13474536262567374,0.304522674128463,-1.3544220286541129,-1.078897746774054,-1.1487489731661822,-0.013212269854701001,2.0126691078660266,1.6074928323218758,2.485592716429012,-0.4987952139412812,-0.5797389218653264,4175,-0.01428229790938275,-0.029267193855119788,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2011Q4,Air Travel: 203,-1.4103316316648402,0.2967378027664009,-0.03519236503967304,-0.5610983841884855,-1.0038730923807375,-0.4207064035421617,0.12554909158593922,0.11988984786917994,0.13474536262567374,-1.6765137947955893,-1.3544220286541129,-1.078897746774054,0.7971402812336018,-0.013212269854701001,2.0126691078660266,-0.7982211253676277,2.485592716429012,-0.4987952139412812,4185,-0.002713076774806361,-0.01428229790938275,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2012Q1,Air Travel: 203,0.7235051613742123,-1.4103316316648402,0.2967378027664009,-1.133465689900421,-0.5610983841884855,-1.0038730923807375,0.14464903913000324,0.12554909158593922,0.11988984786917994,-1.3350189102118548,-1.6765137947955893,-1.3544220286541129,-0.2158004076267911,0.7971402812336018,-0.013212269854701001,-1.2720379522400889,-0.7982211253676277,2.485592716429012,4277,-0.0016112461905609895,-0.002713076774806361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2012Q2,Air Travel: 203,0.012226230361194095,0.7235051613742123,-1.4103316316648402,-1.025471858634018,-1.133465689900421,-0.5610983841884855,0.173652663178396,0.14464903913000324,0.12554909158593922,-1.5329307183228824,-1.3350189102118548,-1.6765137947955893,0.3919640056894504,-0.2158004076267911,0.7971402812336018,0.5534729890713086,-1.2720379522400889,-0.7982211253676277,4496,0.00852559518449642,-0.0016112461905609895,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2012Q3,Air Travel: 203,0.24931920736553384,0.012226230361194095,0.7235051613742123,-0.6312943745116474,-1.025471858634018,-1.133465689900421,0.11352319868782522,0.173652663178396,0.14464903913000324,-1.222480823246761,-1.5329307183228824,-1.3350189102118548,-0.4183885453988523,0.3919640056894504,-0.2158004076267911,-0.8120407828180738,0.5534729890713086,-1.2720379522400889,4510,0.03265568497947004,0.00852559518449642,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2012Q4,Air Travel: 203,-1.1732386546605005,0.24931920736553384,0.012226230361194095,-1.0902681573938595,-0.6312943745116474,-1.025471858634018,0.2139747746603087,0.11352319868782522,0.173652663178396,-1.1293458547239243,-1.222480823246761,-1.5329307183228824,1.4049046945498145,-0.4183885453988523,0.3919640056894504,-0.3921864278949777,-0.8120407828180738,0.5534729890713086,4275,0.03419824779741355,0.03265568497947004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2013Q1,Air Travel: 203,0.8657609475768147,-1.1732386546605005,0.24931920736553384,-1.4682465668262699,-1.0902681573938595,-0.6312943745116474,0.04349005769292466,0.2139747746603087,0.11352319868782522,-1.0478527572664424,-1.1293458547239243,-1.222480823246761,-0.2158004076267623,1.4049046945498145,-0.4183885453988523,-0.4474650576967647,-0.3921864278949777,-0.8120407828180738,4306,0.008305229067647345,0.03419824779741355,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2013Q2,Air Travel: 203,0.10706342116292836,0.8657609475768147,-1.1732386546605005,-0.6582928323282481,-1.4682465668262699,-1.0902681573938595,0.1969970435100293,0.04349005769292466,0.2139747746603087,-0.8266572070247058,-1.0478527572664424,-1.1293458547239243,0.3919640056894504,-0.2158004076267623,1.4049046945498145,0.4876650964501347,-0.4474650576967647,-0.3921864278949777,4850,0.011720903878807995,0.008305229067647345,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2013Q3,Air Travel: 203,0.15448201656379956,0.10706342116292836,0.8657609475768147,-0.5826971504417661,-0.6582928323282481,-1.4682465668262699,0.2111451528019293,0.1969970435100293,0.04349005769292466,0.13961809139972314,-0.8266572070247058,-1.0478527572664424,-0.4183885453988523,0.3919640056894504,-0.2158004076267623,0.15467715978698798,0.4876650964501347,-0.4474650576967647,4696,0.07166048766175616,0.011720903878807995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2013Q4,Air Travel: 203,-0.8887270822552936,0.15448201656379956,0.10706342116292836,-0.2263175072626364,-0.5826971504417661,-0.6582928323282481,0.21751180198328346,0.2111451528019293,0.1969970435100293,0.10081185451520827,0.13961809139972314,-0.8266572070247058,0.1893758679173603,-0.4183885453988523,0.3919640056894504,-0.8752163597344029,0.15467715978698798,0.4876650964501347,4797,0.05469229666437745,0.07166048766175616,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2014Q1,Air Travel: 203,0.7235051613742113,-0.8887270822552936,0.15448201656379956,-0.08592552661631253,-0.2263175072626364,-0.5826971504417661,0.15384531016973754,0.21751180198328346,0.2111451528019293,0.6751441604060331,0.10081185451520827,0.13961809139972314,-0.823564820942975,0.1893758679173603,-0.4183885453988523,0.4580515447706058,-0.8752163597344029,0.15467715978698798,4855,0.0658207855652557,0.05469229666437745,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2014Q2,Air Travel: 203,0.15448201656379754,0.7235051613742113,-0.8887270822552936,0.22185689249293586,-0.08592552661631253,-0.2263175072626364,0.24297839870870186,0.15384531016973754,0.21751180198328346,0.9894746791706064,0.6751441604060331,0.10081185451520827,0.3919640056894216,-0.823564820942975,0.1893758679173603,-0.6685795769039122,0.4580515447706058,-0.8752163597344029,4830,0.07221140295387883,0.0658207855652557,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2014Q3,Air Travel: 203,0.3915749935681373,0.15448201656379754,0.7235051613742113,0.40004671408250064,0.22185689249293586,-0.08592552661631253,0.33352629817685603,0.24297839870870186,0.15384531016973754,0.9739521844168004,0.9894746791706064,0.6751441604060331,-1.026152958715065,0.3919640056894216,-0.823564820942975,0.2724732875788917,-0.6685795769039122,0.4580515447706058,4717,0.06945682649326541,0.07221140295387883,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2014Q4,Air Travel: 203,-1.1732386546605005,0.3915749935681373,0.15448201656379754,0.15706059373309406,0.40004671408250064,0.22185689249293586,0.1998266653684095,0.33352629817685603,0.24297839870870186,0.8963397106477701,0.9739521844168004,0.9894746791706064,-0.823564820942975,-1.026152958715065,0.3919640056894216,0.2382531834158805,0.2724732875788917,-0.6685795769039122,4926,0.057006140891292724,0.06945682649326541,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2015Q1,Air Travel: 203,0.7235051613742113,-1.1732386546605005,0.3915749935681373,0.6916300585017886,0.15706059373309406,0.40004671408250064,0.16728601399704165,0.1998266653684095,0.33352629817685603,1.2339539715430523,0.8963397106477701,0.9739521844168004,-2.4442699231195806,-0.823564820942975,-1.026152958715065,0.08294655682990709,0.2382531834158805,0.2724732875788917,5140,0.08003440010202098,0.057006140891292724,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2015Q2,Air Travel: 203,0.10706342116292936,0.7235051613742113,-1.1732386546605005,1.328793662973566,0.6916300585017886,0.15706059373309406,0.28895975390737383,0.16728601399704165,0.1998266653684095,1.25335708998531,1.2339539715430523,0.8963397106477701,0.1893758679173603,-2.4442699231195806,-0.823564820942975,0.36394625832232497,0.08294655682990709,0.2382531834158805,4964,0.1036135746048719,0.08003440010202098,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2015Q3,Air Travel: 203,0.3915749935681373,0.10706342116292936,0.7235051613742113,0.9346161788511952,1.328793662973566,0.6916300585017886,0.21680439651868852,0.28895975390737383,0.16728601399704165,1.3309695637543404,1.25335708998531,1.2339539715430523,-1.026152958715065,0.1893758679173603,-2.4442699231195806,0.7318123780746945,0.36394625832232497,0.08294655682990709,5245,0.08422135632215337,0.1036135746048719,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
